"Set number";"Name";"Theme";"Pieces";"Dimensions";"Weight";"RRP";"Year"
"4643-1";"Power Boat Transporter";"City";254;"48 x 28.2 x 6.1 cm (18.9 x 11.1 x 2.4 in)";"0.65Kg (1.43 lb)";"£19.99 / US$39.99 / €19.99";"2011"
"4644-1";"Marina";"City";294;"54 x 28.2 x 5.9 cm (21.3 x 11.1 x 2.3 in)";"0.88Kg (1.94 lb)";"£41.99 / US$49.99 / €49.99";"2011"
"4645-1";"Harbour";"City";551;"58.2 x 37.8 x 8.7 cm (22.9 x 14.9 x 3.4 in)";"1.65Kg (3.63 lb)";"£71.99 / US$89.99 / €79.99";"2011"
"60000-1";"Fire Motorcycle";"City";40;"12.2 x 9.1 x 5.8 cm (4.8 x 3.6 x 2.3 in)";"0.07Kg (0.15 lb)";"£4.99 / US$6.99 / €5.99";"2013"
"60001-1";"Fire Chief Car";"City";80;"15.7 x 14.1 x 4.5 cm (6.2 x 5.6 x 1.8 in)";"0.14Kg (0.31 lb)";"£7.99 / US$11.99 / €9.99";"2013"
"60002-1";"Fire Truck";"City";209;"26.2 x 19.1 x 6.1 cm (10.3 x 7.5 x 2.4 in)";"0.39Kg (0.86 lb)";"£14.99 / US$19.99 / €19.99";"2013"
"60003-1";"Fire Emergency";"City";301;"28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in)";"0.6Kg (1.32 lb)";"£24.99 / US$39.99 / €29.99";"2013"
"60004-1";"Fire Station";"City";752;"48 x 37.8 x 9.4 cm (18.9 x 14.9 x 3.7 in)";"1.9Kg (4.19 lb)";"£69.99 / US$99.99 / €79.99";"2013"
"60006-1";"Police ATV";"City";51;"12.2 x 9.1 x 5.8 cm (4.8 x 3.6 x 2.3 in)";"0.07Kg (0.15 lb)";"£4.99 / US$6.99 / €5.99";"2013"
"60008-1";"Museum Break-in";"City";563;"54 x 28.2 x 5.9 cm (21.3 x 11.1 x 2.3 in)";"1.14Kg (2.51 lb)";"£49.99 / US$69.99 / €59.99";"2013"
"60011-1";"Surfer Rescue";"City";32;"12.2 x 9.1 x 4.7 cm (4.8 x 3.6 x 1.9 in)";"0.07Kg (0.15 lb)";"£4.99 / US$6.99 / €5.99";"2013"
"60012-1";"Coast Guard 4x4 & Diving Boat";"City";128;"26.2 x 14.1 x 4.8 cm (10.3 x 5.6 x 1.9 in)";"0.23Kg (0.51 lb)";"£9.99 / US$19.99 / €12.99";"2013"
"60013-1";"Coast Guard Helicopter";"City";230;"28.2 x 26.2 x 6.4 cm (11.1 x 10.3 x 2.5 in)";"0.53Kg (1.17 lb)";"£24.99 / US$39.99 / €29.99";"2013"
"60014-1";"Coast Guard Patrol";"City";449;"54 x 28.2 x 7.8 cm (21.3 x 11.1 x 3.1 in)";"1.22Kg (2.69 lb)";"£59.99 / US$79.99 / €69.99";"2013"
